,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,https://servicodados.ibge.gov.br/api/docs/localidades?utm_source=,,,,,,,,,,,,,,,,,,
"nov. 9, 2022",In Progress,FLO041121A,Bianca,Marucci,Atingidos denunciam seis anos do crime da Samarco/Vale/BHP Billiton em Bento Rodrigues (MG),Brasil de Fato,"nov. 4, 2021",Sudeste ; Minas Gerais ; Mariana; 3140001,Não categorizado,Ocupação,Ocupação de Espaço Público,,,undefined,Movimento de Atingidos,,"Outros
Movimento dos Atingidos por Barragens (MAB)",Fórum Permanente em Defesa do Rio Doce,,NI,,NI,,"14; Vida na Água
15; Vida Terrestre",rompimento de barragem; justiça; reparação,
"nov. 9, 2022",In Progress,FLO021121B,Bianca,Marucci,"Quem é Txai Suruí, indígena e única brasileira que discursou na COP26",G1,"nov. 2, 2021",Internacional,,Evento,Conferência ,,,undefined,Movimento Indígena,,Outros,Txai Suruí,,NI,,NI,,"13; Ação Contra Mudança Global do Clima
15; Vida Terrestre",Glasgow; mudança climática; povos indígenas para a proteção da Amazônia,
"nov. 9, 2022",In Progress,FLO031121A,Bianca,Marucci,Racismo ambiental é tema ausente na COP26,Amazônia Real ,"nov. 3, 2021",Internacional,Não categorizado,Evento,Conferência ,,,undefined,"Movimento Negro
Movimento Quilombola",,Outros,Coordenação Nacional de Articulação de Quilombos (Conaq); Coalizão Negra por Direitos,,NI,,NI,,"10; Redução das Desigualdades
13; Ação Contra Mudança Global do Clima",Glasgow; população periférica; aquecimento global; titulação de terras quilombolas; dimensão racial,
"nov. 9, 2022",In Progress,FLO021121A,Bianca,Marucci,UOL Entrevista: Ailton Krenak fala sobre genocídio  indígena e desmatamento,UOL,"nov. 2, 2021",Online,Ação/prática comunicativa ; Entrevista concedida,,,sim,,undefined,Movimento Indígena,,Outros,Ailton Krenak,,Empresa,,Outros,UOL,"10; Redução das Desigualdades
13; Ação Contra Mudança Global do Clima
15; Vida Terrestre",live; amazônia; mudanças climáticas; direitos indígenas,
"nov. 9, 2022",In Progress,FLO141121B,Maria Luiza,Araújo Lopes,Indígenas de MS realizam encontro para celebrar cultura e eleger miss e mister Paravá,G1,"nov. 14, 2021",Centro-oeste ; Mato Grosso do Sul ; Campo Grande; 5002704,Não categorizado,Evento,Apresentações Culturais,,Cerrado,Data inicial: 13/11/2021 Data final: 13/11/2021,Movimento Indígena,,Outros,Comunidade Indígena Paravá; Genilson Roberto Flores,,NI,,NI,,"13; Ação Contra Mudança Global do Clima
15; Vida Terrestre",Valorização da Luta; Herança; Identidade Cultural,
"nov. 8, 2022",In Progress,FLO141121A,Maria Luiza,Araújo Lopes,Pistoleiros invadem Terra Indígena Itapuã no RS e ateiam fogo na Casa de Reza e em dois carros,Brasil 247,"nov. 14, 2021",Sul ; Rio Grande do Sul ; Viamão; 4323002,Não categorizado,Ação/Prática Comunicativa,Denúncia via Instagram,sim,Mata Atlântica,Data inicial: 14/11/2021 Data final: 14/11/2021,Outros,,Outros,Renato Farac,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Pindó Mirim; Atentados; Grilagem,
"nov. 8, 2022",In Progress,FLO111121E,Maria Luiza,Araújo Lopes,Repúdio ao Discurso do Ministro do Meio Ambiente durante a COP-26,CIMI,"nov. 11, 2021",Internacional,Ação/prática comunicativa ; Nota de repúdio,,,sim,,Data inicial: 11/11/2021 Data final: 11/11/2021,"Outros
Movimento Indígena
Movimento Negro
Movimento Quilombola",,"Outros
Povo Yanomami", Associação de Mulheres Indígenas em Mutirão – AMIM; Associação Terra Indígena Xingu – ATIX; Coalizão Negra Por Direitos; Comissão Pró Índio do Acre – CPI-Acre; Conselho das aldeias Wajãpi Apina; Hutukara Associação Yanomami – HAY; Movimento pela Preservação da Serra do Gandarela; Movimento pelas Serras e Águas de Minas (MovSAM); Organização dos Professores Indígenas do Acre – OPIAC; Uneafro Brasil,,Outros,,Outros,350.org Brasil; Associação de Preservação do Meio Ambiente e da Vida (Apremavi); Associação Mineira de Defesa do Ambiente – Amda; Associação para a Recuperação e Conservação Ambiental em defesa da Serra da Calçada; Casa do Rio; Centro de Trabalho Indigenista – CTI; Climainfo Instituto; Conselho Indigenista Missionário – CIMI; Departamento das Mulheres Indígenas do Rio Negro – DMIRN; Greenpeace Brasil; Iepé – Instituto de Pesquisa e Formação Indígena; Instituto 5 Elementos de Educação para Sustentabilidade; Instituto Brasileiro de Análises Econômicas e Sociais; Instituto de Desenvolvimento e Direitos Humanos – IDDH; Instituto de Desenvolvimento Indigena-INDI; Instituto Guaicuy; Instituto Peregum; Mater Natura – Instituto de Estudos Ambientais; Rede de Cooperação Amazônica – RCA; Rede de ONGs da Mata Atlântica- RMA,"1; Erradicação da Pobreza
10; Redução das Desigualdades
15; Vida Terrestre",Joaquim Leite; ONU; Hostilidade,
"nov. 7, 2022",In Progress,FLO111121D,Maria Luiza,Araújo Lopes,Quilombolas realizam ocupações contra ameaças da Suzano Celulose,DCO,"nov. 11, 2021",Sudeste ; Espírito Santo ; São Mateus; 3204906,Não categorizado,Ocupação,Retomada de Território/Patrimônio,,Mata Atlântica,Data inicial: 23/10/2021 Data final: 23/11/2021,Movimento Quilombola,,Outros,Comunidade quilombola do Angelim 1,,Outros,,Outros,Comissão Quilombola do Sapê do Norte; Movimento Nacional de Direitos Humanos no Espírito Santo (MNDH/ES),"12; Consumo e Produção Responsáveis
15; Vida Terrestre",Violência; Eucalipto; Polícia,
"nov. 7, 2022",In Progress,FLO101121A,Maria Luiza,Araújo Lopes,"Morte, invasão e fome: o garimpo ilegal nas terras yanomamis",Yahoo!Notícias,"nov. 10, 2021",Internacional,Ação/prática comunicativa ; Carta Pública de denúncia,,,,Amazônia,Data inicial: 26/10/2021 Data final: 26/10/2021,Movimento Indígena,,"Outros
Povo Yanomami",e Davi Kopenawa; Dário Kopenawa,,Outros,,Outros,Nações Unidas,"3; Saúde e Bem-Estar
12; Consumo e Produção Responsáveis
14; Vida na Água
15; Vida Terrestre",Contaminação; Mineração Ilegal; Doenças,
"nov. 7, 2022",In Progress,FLO121121D,Maria Luiza,Araújo Lopes,"Em evento, povos indígenas e tradicionais compartilham desafios do atual contexto",CIMI,"nov. 12, 2021",Centro-oeste ; Goiás ; Luziânia; 5212501,Eventos ; Roda de conversa,,,,Cerrado,Data inicial: 09/11/2021 Data final: 10/11/2021,"Movimento Camponês
Movimento Indígena
Movimento Quilombola",,NI,,,Outros,,Outros,Conselho Indigenista Missionário (Cimi); Conselho Pastoral dos/das Pescadores/as (CPP); Comissão Pastoral da Terra (CPT); Cáritas Brasileira; Serviço Pastoral dos Migrantes (SPM); Movimento Quilombola do Maranhão (MOQUIBOM); Articulação Camponesa de Luta Terra e Defesa dos Territórios no Tocantins; Articulação Estadual de Fundo e Fecho de Pasto; Movimento dos Pescadores e Pescadoras Artesanais; Articulação das Mulheres do Cerrado; Guardiões das Sementes Crioulas,"12; Consumo e Produção Responsáveis
15; Vida Terrestre",Agronegócio; Políticas Governamentais; Violência,
"nov. 7, 2022",In Progress,FLO121121C,Maria Luiza,Araújo Lopes,Lideranças quilombolas são homenageadas em encontro que debate regularização fundiária,CidadeVerde.com,"nov. 12, 2021",Nordeste ; Piauí ; Teresina; 2211001,Eventos ; Roda de conversa,,,,Cerrado,Data inicial: 12/11/2021 Data final: 13/11/2021,Movimento Quilombola,,NI,,,"Estado
Fundação
Outros",,"NI
PT",Regina Sousa (PT); Instituto de Terras do Piauí (Interpi); Gerência de Povos e Comunidades Tradicionais (GPCT); Banco Mundial; PRO Piauí; Superintendência de Relações Sociais (SUPRES/SEGOV); Secretaria de Assistência Social e Cidadania (SASC); Secretaria de Planejamento (SEPLAN),"5; Igualdade de Gênero
12; Consumo e Produção Responsáveis
13; Ação Contra Mudança Global do Clima
15; Vida Terrestre",Impactos Ambientais; Gênero e Geração; Terra,
"nov. 7, 2022",In Progress,FLO121121B,Maria Luiza,Araújo Lopes,"Resistência e Luta: Jovens indígenas realizam encontro para debater os desafios e perspectivas os povos, no Maranhão",CIMI,"nov. 12, 2021",Nordeste ; Maranhão ; Santa Inês; 2109908,Não categorizado,Encontro,"Discutir estratégias, lutas e a resistência de seus povos",,Amazônia,Data inicial: 05/11/2021 Data final: 09/11/2021,Movimento Indígena,,Outros,Povos Krikati; Povos Pyhcop Catiji; Povos Awa; Povos Tentehara/Guajajara; Povos Kariu Kariri; Povos Anapuru Muypura; Povos Akroá Gamella; Povos Krenye; Povos Apanyekrá Canela; Povos Memortumuré Canela; Povos Ka’apor,,NI,,NI,,"5; Igualdade de Gênero
10; Redução das Desigualdades
13; Ação Contra Mudança Global do Clima
15; Vida Terrestre",Defesa; Território; Continuidade das Lutas,
"nov. 7, 2022",In Progress,FLO121121A,Maria Luiza,Araújo Lopes,Atual conjuntura política é tema de debate entre lideranças indígenas de Rondônia,CIMI,"nov. 12, 2021",Norte ; Rondônia ; Costa Marques; 1100080,Eventos ; Assembleia,,,,Amazônia,Data inicial: 06/11/2021 Data final: 07/11/2021,Movimento Indígena,,Outros,Povos Puburorá; Povos Migueleno; Povos Kujubim; Povos Wajuru; Povos Chiquitano; Povos Tupari; Povos Aruá; Povos Makurap; Povos Djeoromitxi; Povos Kassupá; Povos Sakirabiar; Povos Canoé; Povos Parintintim; Povos Massaká; Povos Guarasugwe,,Outros,,Outros,"Organização dos Povos Indígenas de Rondônia, Noroeste de Mato Grosso e Sul do Amazonas (OPIROMA); Associação das Guerreiras Indígenas de Rondônia (AGIR); Conselho Indigenista Missionário (Cimi); Conselho de Missão entre Povos Indígenas (COMIN)","15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Defesa; Território; Visibilidade da Luta,
"nov. 7, 2022",In Progress,FLO111121C,Maria Luiza,Araújo Lopes,Comunidades Quilombolas do Tocantins protocolam no MPF diretrizes de consulta aos quilombos do Jalapão,Conexão Tocantins,"nov. 11, 2021",Norte ; Tocantins ; Mateiros; 1712702,Judicialização ; Ação Civil Pública,,,,Cerrado,Data inicial: 10/11/2021 Data final: 10/11/2021,Movimento Quilombola,,Outros, Coordenação Estadual das Comunidades Quilombolas do Tocantins (COEQTO) ,,Estado,,Ministério Público Federal (MPF),,15; Vida Terrestre,Parque Estadual do Jalapão; Lei nº 3.816; Adote um Parque,
"nov. 5, 2022",In Progress,FLO111121B,Maria Luiza,Araújo Lopes,Quebradeiras de Coco Babaçu se reúnem em defesa da biodiversidade,Brasil de Fato,"nov. 11, 2021",Nordeste ; Maranhão ; Lago do Junco; 2105807,,Evento,Seminário,,Cerrado; Amazônia,Data inicial: 11/11/2021 Data final: 12/11/2021,Outros,,Outros,Quebradeiras de Coco Babaçu,,Outros,,Outros,Associação de Mulheres Trabalhadoras Rurais de Lago do Junco e Lago dos Rodrigues (AMTR); Associação de Mulheres Quebradeiras de Coco Babaçu (AMTQC); Movimento Interestadual das Quebradeiras de Coco Babaçu (MIQCB); Central do Cerrado; Cooperativa dos Pequenos Produtores Agroextrativistas de Lago do Junco (COPPALJ); Associação em Áreas de Assentamento no Estado do Maranhão (ASSEMA); WWF-Brasil; Fundo de Parceria Para Ecossistemas Críticos (CEPF); Instituto Internacional de Educação do Brasil (IEB),15; Vida Terrestre,Conflitos Fundiários; Defesa do Território; Babaçu Livre,
"nov. 4, 2022",In Progress,FLO170221A,Bruna,Gonçalves,PA: PM assassina professor do povo Tembé-Theneteraha dentro de Território Indígena,A nova democracia,"fev. 17, 2021",Norte ; Pará ; Capitão Poço; 1502301,Ação/prática comunicativa ; Nota de repúdio,,,,Amazônia,Data inicial: 14/02/2021 Data final: 14/02/2021,Movimento Indígena,,NI,Povo Tembé-Theneteraha,,NI,,NI,,"10; Redução das Desigualdades
16; Paz Justiça e Instituições Eficazes",Terra Indígena (TI) Alto Rio Guama; Bando paramilitar; Conflito; Latifúndio ,
"nov. 4, 2022",In Progress,FLO160221A,Bruna,Gonçalves,Campanha antivacina nas aldeias preocupa lideranças indígenas,CNN,"fev. 16, 2021",Norte ; Amazonas ; São Gabriel da Cachoeira; 1303809,,Ação/Prática comunicativa,Entrevista Concedida,,Amazônia,Data inicial: 16/02/2021 Data final: 16/02/2021,Movimento Indígena,,Outros,Marivelton Baré (Foirn - Federação das Organizações Indígenas do Rio Negro); Suni Kokama (Liderança Kokama),,NI,,NI,,"3; Saúde e Bem-Estar
16; Paz Justiça e Instituições Eficazes",Covid-19; Fake News; Vulnerabilidade,
"nov. 4, 2022",In Progress,FLO311021A,Bruna,Gonçalves,"Indígenas vão à COP26 denunciar genocídio, descartado pela CPI da Covid-19",O tempo,"out. 31, 2021",Internacional,,Encontro,Participação em conferência internacional,,,,Movimento Indígena,,Articulação dos Povos Indígenas do Brasil (APIB),,,Outros,,Outros,Organização das Nações Unidas (ONU),"11; Cidades e Comunidades Sustentáveis
13; Ação Contra Mudança Global do Clima
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Conferência do clima; Ecocídio; Genocídio,
"nov. 4, 2022",In Progress,FLO181121F,Maria Luiza,Araújo Lopes,Estudantes indígenas e quilombolas mantêm mobilização permanente pelo direito à Educação,CIMI,"nov. 18, 2021",Centro-oeste ; Distrito Federal ; Brasília; 5300108,Não categorizado,Ocupação,Acampamento,,,Data inicial: 04/11/2021 Data final: 08/11/2021,"Movimento estudantil
Movimento Indígena
Movimento Quilombola",,"Outros
Articulação dos Povos Indígenas do Brasil (APIB)","Coordenação Nacional de Articulação de Quilombos (CONAQ); Movimento Negro Unificado (MNU); União Nacional dos Estudantes (UNE); Conselho Indigenista Missionário (CIMI); Fórum Nacional de Educação Escolar Indígena (FNEEI); Encontro Nacional dos Estudantes Quilombolas (ENEKI); e, a Frente Parlamentar Mista em Defesa dos Direitos e Povos Indígenas",,NI,,NI,,"4; Educação de Qualidade
10; Redução das Desigualdades",Autodeterminação; Protagonismo; Bolsa Permanência,
"nov. 4, 2022",In Progress,FLO181121E,Maria Luiza,Araújo Lopes,Criança Yanomami com malária e pneumonia morre sem atendimento,Rondônia Dinâmica,"nov. 18, 2021",Norte ; Roraima ; Alto Alegre; 1400050,Judicialização ; Ofício de reivindicação de ato do executivo,,,,Amazônia,Data inicial: 18/11/2021 Data final: 18/11/2021,Movimento Indígena,,Povo Yanomami,,,Outros,,Outros,o Conselho de Saúde Indígena Yanomami e Ye'kuanna,3; Saúde e Bem-Estar,Negligência; Distrito Sanitário Yanomami; Governo Federal,
"nov. 4, 2022",In Progress,FLO181121D,Maria Luiza,Araújo Lopes,Comunidade Quilombola se reuniu por ocasião da data de conscientização negra,Oeste Goiano,"nov. 18, 2021",Centro-oeste ; Goiás ; Iporá; 5210208,Eventos ; Roda de conversa,,,,Cerrado,Data inicial: 18/11/2021 Data final: 18/11/2021,Movimento Quilombola,,Outros,Comunidade Quilombola Pilões,,NI,,NI,,10; Redução das Desigualdades,Consciência Negra; Combate ao Racismo; Cultura Afro-brasileira,
"nov. 4, 2022",In Progress,FLO181121C,Maria Luiza,Araújo Lopes,"Comunidade Quilombola e gestão municipal, juntos para discutir melhorias e o desenvolvimento para o Povoado Cruz",Cada Minuto,"nov. 18, 2021",Nordeste ; Alagoas ; Delmiro Gouveia; 2702405,Encontro ; Reunião de reivindicação de ato administrativo territorial,,,,Mata Atlântica,Data inicial: 17/11/2021 Data final: 17/11/2021,Movimento Quilombola,,Outros,Comunidade do Povoado da Cruz,,Estado,,Outros, Prefeita Ziane Costa; Secretários Municipais; Procurador Geral do Município,8; Trabalho Decente e Crescimento Econômico,Profissionalização; Demanda Turística; Resgate Histórico Cultural,
"nov. 4, 2022",In Progress,FLO300621T,Paulo Vitor,Luna Torres,Indígenas protestam contra 'marco temporal' e interditam rodovias em Roraima,G1 RR,"jun. 30, 2021",Norte ; Roraima ; Cantá; 1400175,,Ocupação,ocupação de via pública/bloqueio de pista,,Amazônia ,undefined,Movimento Indígena,,"NI
Outros",,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 4, 2022",In Progress,FLO300621S,Paulo Vitor,Luna Torres,Mulheres indígenas dizem NÃO ao marco temporal,Jornalistas Livres ,"jun. 30, 2021",Sudeste ; São Paulo ; São Paulo; 3550308,,Ocupação,Ocupação de espaço público ,,Mata Atlântica,undefined,Movimento Indígena,,Outros,Povo Guarani Mbya,,Estado,,Outros,Justiça Federal,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO290621G,Paulo Vitor,Luna Torres,VÍDEO:indígenas fechamBR-470emprotesto pedindo demarcação de terras,ND+ Notícias de Santa Catarina,"jun. 29, 2021",Sul ; Santa Catarina ; Ibirama; 4206900,,,,,Mata Atlântica,undefined,Movimento Indígena,,Outros,Povo Xokleng,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO290621F,Paulo Vitor,Luna Torres,"Indígenas bloqueiam a BR-316, no MA, em protesto contra projeto que modifica demarcação de terras",G1 MA,"jun. 29, 2021",Nordeste ; Maranhão ; Santa Inês; 2109908,,Ocupação,ocupação de via pública/bloqueio de pista,,Amazônia ,undefined,Movimento Indígena,,Outros,Povo do Alto Turiaçu; Povo Caru; Povo Awá; Povo Pindaré,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO300621R,Paulo Vitor,Luna Torres,Indígenas bloqueiam parte da MA-014 em protesto contra o PL490,Jornal Pequeno,"jun. 30, 2021",Nordeste ; Maranhão ; Viana; 2112803,,Ocupação,ocupação de via pública/bloqueio de pista,,Amazônia ,undefined,Movimento Indígena,,Outros,Povo Akroá- Gamella,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO300621Q,Paulo Vitor,Luna Torres,Indígenas voltam a bloquear a BR-386 em Iraí,Jornal O Alto Uruguai,"jun. 30, 2021",Sul ; Rio Grande do Sul ; Iraí; 4310504,,Ocupação,ocupação de via pública/bloqueio de pista,,Mata Atlântica,undefined,Movimento Indígena,,Outros,Representantes de aldeias de Benjamin Constant; Faxinalzinho; Lajeado do Bugre; Vicente Dutra; Liberato Salzano; Carazinho; e Iraí.,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO300621P,Paulo Vitor,Luna Torres,Protesto em Porto Alegre critica projeto que altera demarcação de terras indígenas (2),GZH Porto Alegre,"jun. 30, 2021",Sul ; Rio Grande do Sul ; Iraí; 4310504,,Ocupação,ocupação de via pública/bloqueio de pista,,Mata Atlântica,undefined,Movimento Indígena,,NI,,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO300621O,Paulo Vitor,Luna Torres,Protesto em Porto Alegre critica projeto que altera demarcação de terras indígenas,GZH Porto Alegre,"jun. 30, 2021",Sul ; Rio Grande do Sul ; Porto Alegre; 4314902,,Ocupação,Ocupação de espaço público ,,Pampa ,undefined,Movimento Indígena,,NI,,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO300621N,Paulo Vitor,Luna Torres,Indígenas protestam em 3 regiões de SC contra projeto que dificulta demarcação de terras (2),G1 SC,"jun. 30, 2021",Sul ; Santa Catarina ; Chapecó; 4204202,,Ocupação,ocupação de via pública/bloqueio de pista,,Mata Atlântica,undefined,Movimento Indígena,,NI,,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO300621M,Paulo Vitor,Luna Torres,Indígenas protestam em 3 regiões de SC contra projeto que dificulta demarcação de terras,G1 SC,"jun. 30, 2021",Sul ; Santa Catarina ; Araquari; 4201307,,Ocupação,ocupação de via pública/bloqueio de pista,,Mata Atlântica,undefined,Movimento Indígena,,"NI
Outros",Indígenas não especificados.  ,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO300621L,Paulo Vitor,Luna Torres,Indígenas protestamcontra ‘marco temporal’ e bloqueiamViaExpressa Sul em Florianópolis,ND+ Notícias de Santa Catarina,"jun. 30, 2021",Sul ; Santa Catarina ; Florianópolis; 4205407,,Ocupação,Ocupação de espaço público ,,Mata Atlântica,undefined,Movimento Indígena,,Outros,Povo Kaingang,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO300621K,Paulo Vitor,Luna Torres,"Indígenas voltam a fechar rodovia em Joaquim Gomes, AL, em protesto contra projeto que dificulta demarcação de terras",G1 AL,"jun. 30, 2021",Nordeste ; Alagoas ; Joaquim Gomes; 2703809,,Ocupação,Ocupação de espaço público ,,Mata Atlântica,undefined,Movimento Indígena,,Outros,Indígenas da aldeia Wassu Cocal ,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO300621J,Paulo Vitor,Luna Torres,Indígenas protestam em rodovia do litoral de SP contra projeto que dificulta demarcação de terras,G1 Santos ,"jun. 30, 2021",Sudeste ; São Paulo ; Peruíbe; 3537602,,Ocupação,Ocupação de espaço público ,,Mata Atlântica,undefined,Movimento Indígena,,Outros,Indígenas não especificados.  ,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO260621A,Paulo Vitor,Luna Torres,"Durante visita a SC, Bolsonaro é recebido com protestos em todas as regiões do estado",Brasil de fato,"jun. 26, 2021",Sul ; Santa Catarina ; Florianópolis; 4205407,,Ocupação,Ocupação de espaço público ,,,undefined,"Outros
Movimento Indígena",,"NI
Outros",Indígenas não especificados.  ,,NI,,NI,,"3; Saúde e Bem-Estar
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Marco temporal; Vacinas; Direitos indígenas; Impeachment.,
"nov. 3, 2022",In Progress,FLO230621M,Paulo Vitor,Luna Torres,Protesto indígena bloqueia trecho da BR-470emSC; assista,ND+ Notícias de Santa Catarina,"jun. 23, 2021",Sul ; Santa Catarina ; Ibirama; 4206900,,Ocupação,Ocupação de espaço público ,,Mata Atlântica,undefined,Movimento Indígena,,Outros,Povo Xokleng,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Bloqueio de BR; PL 490/2007; Protesto.,
"nov. 3, 2022",In Progress,FLO220621J,Paulo Vitor,Luna Torres,Indígenas fecham rodovia no AC e protestam contra projeto de lei que modifica demarcação de terras,G1 AC  ,"jun. 22, 2021",Norte ; Acre ; Rio Branco; 1200401,,Ocupação,Ocupação de espaço público ,,Amazônia ,undefined,Movimento Indígena,,Outros,Povo Huni Kui do Acre,,Estado,,Outros,Palácio Rio Branco (Sede do Governo Estadual),"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Marco temporal; Luta pela terra; Mobilização indígena.,
"nov. 3, 2022",In Progress,FLO190621E,Paulo Vitor,Luna Torres,"Manifestação contra Bolsonaro fecha Eixo Monumental, em Brasília",G1 DF,"jun. 19, 2021",Centro-oeste ; Distrito Federal ; Brasília; 5300108,,Ocupação,Ocupação de espaço público ,,Cerrado,undefined,"N.I.
Outros
Movimento Indígena",,"NI
Outros",Indígenas não especificados.  ,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Demarcação de terras; Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490; Levante pela terra..,
"nov. 3, 2022",In Progress,FLO160621C,Paulo Vitor,Luna Torres,FORA MARCELO XAVIER DA FUNAI,Articulação dos Povos Indígenas do Brasil,"jun. 16, 2021",Centro-oeste ; Distrito Federal ; Brasília; 5300108,,Ação/Prática Comunicativa ,Carta pública de denúncia ,sim,Cerrado,undefined,Movimento Indígena,,Articulação dos Povos Indígenas do Brasil (APIB),,,Estado,,Fundação Nacional do índio (FUNAI),,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Marco temporal; Luta pela terra; Mobilização indígena.,
"nov. 3, 2022",In Progress,FLO140621D,Paulo Vitor,Luna Torres,"Com direitos em risco e demarcações paralisadas, povos indígenas pedem que STF julgue repercussão geral (2)",Conselho indigenista missionário,"jun. 14, 2021",Centro-oeste ; Distrito Federal ; Brasília; 5300108,Encontro ; Reunião de reivindicação de ato do judiciário,,Protocolamento de Carta ao STF (não categorizado),,Cerrado,undefined,Movimento Indígena,,NI,Indígenas não especificados.  ,,Estado,,Supremo Tribunal Federal (STF),,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Demarcação de terras; Oposição a PL490/2007; Resistência indígena; Defesa do território indígena; PL490.,
"nov. 3, 2022",In Progress,FLO030621A,Paulo Vitor,Luna Torres,Cacica cria rede de ajuda a mulheres indígenas afetadas pela pandemia no RS,UOL ECOA,"jun. 3, 2021",Sul ; Rio Grande do Sul ; Porto Alegre; 4314902,,Arrecadação de recursos ou execução de serviços,Campanha de solidariedade,,Pampa ,,Movimento Indígena,,Outros,Representante do Povo Guarani,,Estado,Associação,Outros,Centro de Referência Indígena Afro do Rio Grande do Sul,15; Vida Terrestre,Solidariedade indígena; Arrecadação. ,
"nov. 3, 2022",In Progress,FLO171121D,Maria Luiza,Araújo Lopes,Povos indígenas temem perdas de território após possível encolhimento de reserva dos Tapebas,O Povo,"nov. 17, 2021",Nordeste ; Ceará ; Maracanaú; 2307650,Eventos ; Assembleia,,,,Caatinga,Data inicial: 15/11/2021 Data final: 15/11/2021,Movimento Indígena,,Outros,Povo Tapeba,,Outros,,Outros,Federação dos Povos e Organizações Indígenas no Ceará,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Funai; Demarcação; STF,
"out. 31, 2022",In Progress,FLO171121C,Maria Luiza,Araújo Lopes,"Se tiver que derramar sangue, nós vamos derramar sangue, afirmam indígenas",FOLHA BV,"nov. 17, 2021",Norte ; Roraima ; Uiramutã; 1400704,Ação/prática comunicativa ; Participação em coletiva de imprensa,,,,Amazônia,Data inicial: 17/11/2021 Data final: 17/11/2021,Movimento Indígena,,Outros,Conselho Indígena Roraima,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Vigilância; Polícia Militar; Invasão,
